height_cm,weight_kg,skill_moves
170,72,4
187,83,5
175,68,5
188,87,1
175,74,4
181,70,4
187,85,1
193,92,2
172,66,4
175,71,4
178,73,5
187,89,2
188,89,3
191,91,1
192,82,1
168,72,2
187,85,2
173,70,4
184,82,3
182,86,3
184,80,4
189,76,3
176,73,4
177,75,4
191,84,5
188,86,1
170,69,4
181,76,4
199,96,1
194,85,2
193,92,1
193,92,1
188,82,1
173,67,4
185,77,3
187,78,2
183,76,3
180,71,4
187,80,4
175,69,4
189,85,2
173,64,4
185,84,2
183,78,4
179,67,3
183,82,2
185,81,4
189,86,3
169,61,4
191,94,3
186,81,2
170,68,3
174,70,5
185,80,1
163,59,4
183,75,4
183,75,3
187,80,2
165,60,4
182,75,2
195,90,1
176,73,3
176,79,4
181,76,4
184,78,3
178,72,3
180,69,5
190,85,2
172,68,5
182,74,3
186,75,3
185,85,3
175,73,4
189,89,2
196,90,1
180,74,4
191,81,2
195,97,2
191,76,4
191,82,3
184,77,3
188,78,3
178,64,3
185,80,2
186,81,2
179,69,4
184,81,1
192,86,1
187,85,1
190,94,3
189,83,2
190,84,1
180,78,3
181,75,3
173,73,3
181,65,4
195,95,5
165,68,4
186,89,3
180,75,2
185,82,4
174,75,5
186,81,4
180,80,3
176,67,3
176,74,3
180,75,4
175,74,4
180,76,5
188,83,4
178,67,5
186,85,1
182,74,4
188,80,4
182,76,2
171,73,4
176,78,5
189,79,3
185,83,4
179,75,4
175,75,4
173,75,4
190,83,1
183,74,4
181,71,3
196,81,1
189,78,2
175,70,4
188,81,2
170,61,3
188,93,1
192,80,1
183,73,3
186,85,2
179,78,3
180,76,4
192,86,2
183,79,1
193,80,2
175,69,4
186,80,4
190,85,3
180,75,3
192,90,2
178,76,2
178,73,3
180,80,4
183,80,4
183,70,2
176,65,4
172,70,5
177,72,3
181,76,4
190,79,4
179,67,5
172,63,4
190,83,2
189,70,4
188,78,2
177,68,4
180,69,3
182,85,3
186,78,4
184,76,4
190,80,4
195,97,2
181,81,3
189,77,1
179,68,4
183,73,4
187,91,2
186,70,5
188,70,3
192,80,3
171,69,3
180,75,3
171,62,4
187,79,2
182,76,4
178,74,3
187,77,4
185,77,1
180,71,4
187,86,3
197,86,1
180,66,5
175,72,3
189,84,3
190,82,3
187,83,3
185,77,5
178,72,2
181,71,4
189,86,1
184,73,3
174,70,4
185,83,1
174,70,4
179,70,4
180,67,3
192,92,1
185,84,1
190,86,1
190,85,2
190,82,2
180,79,4
189,89,1
177,72,3
186,78,2
177,77,4
189,90,2
190,84,1
176,77,3
174,71,4
188,86,2
189,90,2
189,86,3
180,76,4
182,80,3
186,77,3
183,76,3
179,75,3
180,72,3
192,85,1
183,81,2
179,72,5
174,66,3
178,67,3
182,77,4
171,70,3
170,68,4
192,88,3
188,83,3
177,73,4
188,83,4
185,80,2
177,75,4
181,78,3
178,79,4
175,73,4
176,78,4
181,72,3
193,78,1
172,64,4
168,64,3
180,80,3
189,80,2
178,78,4
187,93,1
177,67,4
195,94,1
188,77,1
190,84,2
171,68,4
186,79,4
175,70,4
173,74,5
186,78,1
185,77,3
182,72,4
194,90,2
176,70,4
187,79,2
190,85,2
186,81,1
175,70,3
172,65,3
192,85,1
189,87,1
170,66,4
176,75,4
182,79,3
187,82,1
189,93,4
178,68,4
181,83,3
179,83,3
180,76,2
187,79,2
175,80,3
194,100,2
175,71,4
179,74,4
184,82,3
171,67,4
172,66,4
188,92,1
184,83,2
182,78,3
170,60,4
168,65,4
185,80,3
178,63,3
190,83,1
195,90,1
170,63,4
193,92,3
191,84,2
175,78,4
192,84,3
192,83,4
169,62,4
172,68,4
187,81,3
189,88,4
174,69,5
172,64,4
196,89,2
181,75,4
169,65,4
188,86,2
178,72,5
182,73,3
169,72,5
187,80,3
196,92,2
182,74,3
191,90,3
184,81,4
175,62,4
174,72,5
179,74,3
189,88,3
